0:0:0.450827 -- LOG:  Vendor: NVIDIA Corporation
0:0:10.80951 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.809265 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.809503 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.809632 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.809754 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.825854 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.82635 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.826180 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.826496 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.826810 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.82765 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.827223 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.827441 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.842363 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.842580 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.842715 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.842823 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.842990 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.843118 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.843321 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.843635 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.860480 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.860696 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.860813 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.860920 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.86131 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.861155 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.861437 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.861704 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.875633 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.875814 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.875946 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.876103 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.876255 -- WRN:  obj1: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
0:0:10.876466 -- WRN:  obj2: PhysicsObject: {"UID": "14829735431805717965" "CollisionUID": "14829735431805717965" Mesh: {"Directory": "res/models/" "File Name": "plane.obj" "Type": "normalModel"}}
